Sale Key,City Key,Customer Key,Bill To Customer Key,Stock Item Key,invoice_date,delivery_date,Salesperson Key,WWI Invoice ID,Description,Package,Quantity,Unit Price,Tax Rate,Total Excluding Tax,Tax Amount,Profit,Total Including Tax,Total Dry Items,Total Chiller Items,Lineage Key,unit_price_implied,delivery_lag_days,year,month,quarter,year_month,margin_pct,has_customer
49265,41568,0,0,204,2013-10-22,2013-10-23,83,15189,DBA joke mug - mind if I join you? (White),Each,6,13.0,15,78.0,11.7,51.0,89.7,6,0,11,13.0,1.0,2013,10,4,2013-10-01,65.38461538461539,False
49372,48937,0,0,173,2013-10-22,2013-10-23,83,15218,Developer joke mug - a foo walks into a bar (Black),Each,6,13.0,15,78.0,11.7,51.0,89.7,6,0,11,13.0,1.0,2013,10,4,2013-10-01,65.38461538461539,False
50379,91464,0,0,174,2013-10-28,2013-10-29,70,15525,Developer joke mug - a foo walks into a bar (White),Each,6,13.0,15,78.0,11.7,51.0,89.7,6,0,11,13.0,1.0,2013,10,4,2013-10-01,65.38461538461539,False
51852,48937,0,0,171,2013-11-06,2013-11-07,74,15986,Developer joke mug - this code was generated by a tool (Black),Each,6,13.0,15,78.0,11.7,51.0,89.7,6,0,11,13.0,1.0,2013,11,4,2013-11-01,65.38461538461539,False
52374,89925,0,0,203,2013-11-08,2013-11-09,39,16138,DBA joke mug - mind if I join you? (Black),Each,6,13.0,15,78.0,11.7,51.0,89.7,6,0,11,13.0,1.0,2013,11,4,2013-11-01,65.38461538461539,False
53463,72709,0,0,183,2013-11-15,2013-11-16,91,16464,Developer joke mug - when your hammer is C++ (Black),Each,6,13.0,15,78.0,11.7,51.0,89.7,6,0,11,13.0,1.0,2013,11,4,2013-11-01,65.38461538461539,False
53591,87633,0,0,202,2013-11-16,2013-11-17,91,16501,DBA joke mug - daaaaaa-ta (White),Each,6,13.0,15,78.0,11.7,51.0,89.7,6,0,11,13.0,1.0,2013,11,4,2013-11-01,65.38461538461539,False
54792,77092,0,0,176,2013-11-22,2013-11-23,91,16867,Developer joke mug - there are 10 types of people in the world (White),Each,6,13.0,15,78.0,11.7,51.0,89.7,6,0,11,13.0,1.0,2013,11,4,2013-11-01,65.38461538461539,False
55582,47692,0,0,175,2013-11-28,2013-11-29,19,17112,Developer joke mug - there are 10 types of people in the world (Black),Each,6,13.0,15,78.0,11.7,51.0,89.7,6,0,11,13.0,1.0,2013,11,4,2013-11-01,65.38461538461539,False
56531,47134,0,0,191,2013-12-03,2013-12-04,91,17405,DBA joke mug - two types of DBAs (Black),Each,6,13.0,15,78.0,11.7,51.0,89.7,6,0,11,13.0,1.0,2013,12,4,2013-12-01,65.38461538461539,False
