year_month,sales,profit,orders
2013-01-01,403488.6,203821.6,209
2013-02-01,325488.3,161465.6,127
2013-03-01,407959.15,213303.75,156
2013-04-01,505192.2,246955.85,207
2013-05-01,523554.05,269845.35,208
2013-06-01,501673.55,241102.6,206
2013-07-01,454961.2,226203.35,213
2013-08-01,390607.6,188158.7,182
2013-09-01,428908.2,221995.95,159
2013-10-01,484909.05,233555.55,185
2013-11-01,427174.95,220238.75,180
2013-12-01,404037.7,211093.85,178
2014-01-01,479603.3,246265.35,219
2014-02-01,403969.95,198809.6,166
2014-03-01,555206.95,276855.8,214
2014-04-01,514203.15,255261.25,197
2014-05-01,557357.25,274096.15,214
2014-06-01,390933.6,201648.55,185
2014-07-01,574129.15,291323.95,246
2014-08-01,415408.7,199110.55,173
2014-09-01,475839.75,239472.75,190
2014-10-01,513112.95,258499.25,211
2014-11-01,477889.85,229828.8,187
2014-12-01,485768.65,236886.35,198
2015-01-01,487323.5,247653.3,196
2015-02-01,563338.8,282044.15,215
2015-03-01,558635.0,282140.3,205
2015-04-01,587258.7,297920.95,215
2015-05-01,489134.1,241829.2,198
2015-06-01,527373.1,251261.25,195
2015-07-01,597782.65,295476.3,254
2015-08-01,421268.6,209914.5,189
2015-09-01,518784.25,256307.4,229
2015-10-01,553496.85,269766.9,230
2015-11-01,440969.45,223922.35,204
2015-12-01,602490.45,303845.15,241
2016-01-01,532829.15,275904.95,205
2016-02-01,436033.75,213305.1,175
2016-03-01,503854.3,256371.75,220
2016-04-01,425849.1,217128.35,199
2016-05-01,531793.25,253300.55,208
