Customer Key,sales,profit,orders,first,last,margin_%
273,355293.35,185158.65,125,2013-01-18,2016-05-24,52.11
102,344005.05,163720.6,130,2013-01-05,2016-05-28,47.59
281,343236.1,163084.6,109,2013-01-23,2016-05-19,47.51
398,328237.65,167999.45,125,2013-01-11,2016-05-26,51.18
384,327417.2,161495.3,125,2013-01-11,2016-05-19,49.32
186,321476.1,156166.05,125,2013-01-08,2016-05-26,48.58
399,316857.85,161952.0,132,2013-01-04,2016-05-26,51.11
78,314765.1,155986.45,126,2013-01-16,2016-05-16,49.56
109,314652.7,159068.0,92,2013-01-05,2016-05-31,50.55
176,307146.35,152722.1,110,2013-01-09,2016-05-17,49.72
