Description,sales,profit,units,lines,margin_%
Air cushion machine (Blue),1198269.0,478929.0,631,113,39.97
10 mm Anti static bubble wrap (Blue) 50m,866250.0,472500.0,8750,147,54.55
20 mm Double sided bubble wrap 50m,790560.0,673440.0,7320,129,85.19
32 mm Double sided bubble wrap 50m,769440.0,364110.0,6870,120,47.32
32 mm Anti static bubble wrap (Blue) 50m,631050.0,348580.0,6010,108,55.24
10 mm Double sided bubble wrap 50m,605850.0,282730.0,5770,107,46.67
20 mm Anti static bubble wrap (Blue) 50m,587520.0,270720.0,5760,107,46.08
Void fill 400 L bag (White) 400L,405500.0,194640.0,8110,141,48.0
32 mm Anti static bubble wrap (Blue) 20m,360000.0,187500.0,7500,140,52.08
20 mm Anti static bubble wrap (Blue) 20m,309600.0,165120.0,6880,124,53.33
